Lon     Lat     Lon-UM  Lat-UM  Lon-Had Lat-Had
-176.9	36.87	-176.9	36.87	-176.9	36.87
-160.29	-59.67	-160.29	-59.67	-160.29	-59.67
-150.42	70.29	-150.42	71.26	-150.42	70.29
-148.45	54.37	-148.45	54.37	-148.45	54.37
-133.3	0.49	-133.3	0.49	-133.3	0.49
-130.12	40.98	-130.12	40.98	-130.12	40.98
-127.78	39.09	-127.78	39.09	-127.78	39.09
-124.11	-65.68	-124.11	-65.68	-124.11	-65.68
-119.98	32.83	-119.98	32.83	-119.98	32.83
-110.07	5.28	-110.07	5.28	-110.07	5.28
-99	79	-99	79	-99	79
-97.99	-63.68	-97.99	-63.68	-97.99	-63.68
-95.32	0.18	-95.32	0.18	-95.32	0.18
-87.17	28.83	-87.17	28.74	-87.17	28.83
-83.74	1.2	-83.74	1.2	-83.74	1.2
-82.66	27.25	-82.66	27.25	-82.66	27.25
-82.43	27.35	-82.43	27.35	-82.43	27.35
-82.05	9.15	-82.05	8.74	-82.05	9.15
-80.28	25.78	-80.28	25.78	-80.28	25.78
-79.46	24.4	-79.46	24.4	-79.46	24.4
-79.38	11.49	-79.38	11.49	-79.38	11.49
-79	34	-79	33.74	-77.9	34
-76.75	35.38	-76.75	35.38	-76.75	35.38
-76.5	37	-76.5	37	-76.5	37
-76.37	-16	-76.88	-16	-76.37	-16
-74.41	28.25	-74.41	28.25	-74.41	28.25
-70.03	35.49	-70.03	35.49	-70.03	35.49
-58.72	15.52	-58.72	15.52	-58.72	15.52
-58.5	15.5	-58.5	15.5	-58.5	15.5
-57.61	33.69	-57.61	33.69	-57.61	33.69
-43.5	22.9	-43.5	22.9	-43.5	22.9
-43.45	-62.39	-43.45	-62.39	-43.45	-62.39
-35.5	37.34	-35.5	37.34	-35.5	37.34
-35.28	-30.27	-35.28	-30.27	-35.28	-30.27
-32.96	41	-32.96	41	-32.96	41
-30.68	-51.54	-30.68	-51.54	-30.68	-51.54
-29.48	45.51	-29.48	45.51	-29.48	45.51
-24.87	32.03	-24.87	32.03	-24.87	32.03
-24.24	49.88	-24.24	49.88	-24.24	49.88
-23.23	56.04	-23.23	56.04	-23.23	56.04
-23.09	42.84	-23.09	42.84	-23.09	42.84
-21.9	4.55	-21.9	4.55	-21.9	4.55
-21.03	18.08	-21.03	18.08	-21.03	18.08
-20	23	-20	23	-20	23
-19.85	5.68	-19.85	5.68	-19.85	5.68
-19.39	9.45	-19.39	9.45	-19.39	9.45
-18.89	53.22	-18.89	53.22	-18.89	53.22
-14.57	-70.83	-14.57	-70.83	-14.57	-70.83
-12.7	69.25	-12.7	69.25	-12.7	69.25
-12	48.85	-12	48.85	-12	48.85
-10.27	-26.07	-10.27	-26.07	-10.27	-26.07
-9.6	33.8	-9.6	33.8	-9.6	33.8
1.21	-65.16	1.21	-65.16	1.21	-65.16
1.5	52.5	1.88	52.5	1.5	52.5
3.07	78.58	3.07	78.58	3.07	78.58
7.42	-46.88	7.42	-46.88	7.42	-46.88
7.92	-58.64	7.92	-58.64	7.92	-58.64
8.23	80.47	8.23	80.47	8.23	80.47
10.52	-19.74	10.52	-19.74	10.52	-19.74
11.43	40.25	11.43	40.25	11.43	40.25
13.5	37.33	13.5	37.33	13.5	37.33
13.58	37.33	13.58	37.33	13.58	37.33
25.17	35.25	25.17	35.25	25.17	35.25
59.8	16.62	59.8	16.62	59.8	16.62
60.55	-3.92	60.55	-3.92	60.55	-3.92
71.66	-49.4	71.66	-49.4	71.66	-49.4
73.28	4.93	73.28	4.93	73.28	4.93
76.79	-54.81	76.79	-54.81	76.79	-54.81
78.98	-58.44	78.98	-58.44	78.98	-58.44
79.81	-57.73	79.81	-57.73	79.81	-57.73
85.86	-59.6	85.86	-59.6	85.86	-59.6
90.37	5.38	90.37	5.38	90.37	5.38
93.57	-30.93	93.57	-30.93	93.57	-30.93
110.11	-56.4	110.11	-56.4	110.11	-56.4
112.21	-20.59	112.21	-20.59	112.21	-20.59
121.29	8.78	121.29	8.78	121.29	8.78
133.2	25.52	133.2	25.52	133.2	25.52
137	37	136.86	37	137	37
140.5	39.5	140.5	39.5	139.9	39.5
150.68	-62.9	150.68	-62.9	150.68	-62.9
150.88	-57.75	150.88	-57.75	150.88	-57.75
151.57	-9.18	151.57	-9.18	151.57	-9.18
153.84	38.63	153.84	38.63	153.84	38.63
153.98	41.63	153.98	41.63	153.98	41.63
158.5	-0.5	158.5	-0.5	158.5	-0.5
159.36	0.31	159.36	0.31	159.36	0.31
161.49	47.1	161.49	47.1	161.49	47.1
163	56	163.26	56	163	56
164.04	58.85	163.11	58.85	164.04	58.85
165.44	-36.47	165.44	-36.47	165.44	-36.47
167.09	-77.89	169.36	-76.24	166.9	-77.89
167.77	51.2	167.77	51.2	167.77	51.2
170.06	-61.09	170.06	-61.09	170.06	-61.09
173.43	-68.99	173.43	-68.99	173.43	-68.99
175.87	-39.5	175.87	-38.74	174.9	-39.5
